52.167.144.214 - - [18/Jun/2024:02:34:09 -0700] "GET /self.logs/access.log.2017-10-29.gz HTTP/1.1" 200 18414 "-" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm) Chrome/116.0.1938.76 Safari/537.36" 
66.249.64.105 - - [18/Jun/2024:02:39:01 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.64.105 - - [18/Jun/2024:02:39:03 -0700] "GET /css/style.css HTTP/1.1" 404 305 "http://www.secrepo.com/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/125.0.6422.154 Safari/537.36" 
66.249.64.103 - - [18/Jun/2024:02:44:30 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.64.105 - - [18/Jun/2024:02:44:32 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/125.0.6422.154 Safari/537.36" 
110.40.20.108 - - [18/Jun/2024:02:48:19 -0700] "GET /login.php?s=Admin/login HTTP/1.1" 404 328 "-" "python-requests/2.24.0" 
110.40.20.108 - - [18/Jun/2024:02:49:10 -0700] "GET /admin.php HTTP/1.1" 404 328 "-" "python-requests/2.24.0" 
66.249.64.105 - - [18/Jun/2024:02:50:25 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)" 
66.249.64.104 - - [18/Jun/2024:02:50:34 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; Googlebot/2.1; +http://www.google.com/bot.html) Chrome/125.0.6422.154 Safari/537.36" 
51.222.253.9 - - [18/Jun/2024:02:52:12 -0700] "GET / HTTP/1.1" 200 13142 "-" "Mozilla/5.0 (compatible; AhrefsBot/7.0; +http://ahrefs.com/robot/)" 
152.42.172.246 - - [18/Jun/2024:02:54:34 -0700] "GET / HTTP/1.1" 301 419 "-" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 
152.42.172.246 - - [18/Jun/2024:02:54:36 -0700] "GET / HTTP/1.1" 200 13142 "http://secrepo.com/" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 
152.42.172.246 - - [18/Jun/2024:02:54:36 -0700] "GET /wordpress/ HTTP/1.1" 301 439 "-" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 
152.42.172.246 - - [18/Jun/2024:02:54:37 -0700] "GET /wordpress/ HTTP/1.1" 404 284 "http://secrepo.com/wordpress/" "Mozilla/5.0 (Linux; Android 5.1.1; SM-J111F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/73.0.3683.90 Mobile Safari/537.36" 
