114.119.155.232 - - [16/Jan/2023:02:12:43 -0800] "GET /self.logs/error.log.2020-12-06 HTTP/1.1" 200 361 "http://www.secrepo.com/self.logs?C=N%3BO%3DD" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
185.82.72.160 - - [16/Jan/2023:02:27:09 -0800] "HEAD /BlockCypher.log HTTP/1.1" 301 182 "-" "-" 
185.82.72.160 - - [16/Jan/2023:02:27:09 -0800] "HEAD /BlockCypher.log HTTP/1.1" 404 275 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:28:17 -0800] "HEAD /restore/website.gz HTTP/1.1" 301 185 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:28:17 -0800] "HEAD /restore/website.gz HTTP/1.1" 404 275 "-" "-" 
98.159.226.21 - - [16/Jan/2023:02:28:28 -0800] "HEAD /backup/public_html.zip HTTP/1.1" 301 189 "-" "-" 
98.159.226.21 - - [16/Jan/2023:02:28:28 -0800] "HEAD /backup/public_html.zip HTTP/1.1" 404 275 "-" "-" 
185.192.70.20 - - [16/Jan/2023:02:29:02 -0800] "HEAD /back/directory.tar HTTP/1.1" 301 185 "-" "-" 
194.32.120.141 - - [16/Jan/2023:02:29:02 -0800] "HEAD /back/directory.tar HTTP/1.1" 404 275 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:29:21 -0800] "HEAD /back/.well-known.zip HTTP/1.1" 301 187 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:29:21 -0800] "HEAD /back/.well-known.zip HTTP/1.1" 404 275 "-" "-" 
194.32.120.154 - - [16/Jan/2023:02:30:05 -0800] "HEAD /backups/backup.tar.gz HTTP/1.1" 301 188 "-" "-" 
194.32.120.173 - - [16/Jan/2023:02:30:06 -0800] "HEAD /backups/backup.tar.gz HTTP/1.1" 404 275 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:30:08 -0800] "HEAD /old/backup.sql.zip HTTP/1.1" 301 185 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:30:08 -0800] "HEAD /old/backup.sql.zip HTTP/1.1" 404 275 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:31:19 -0800] "HEAD /restore/backup.sql.zip HTTP/1.1" 301 189 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:31:19 -0800] "HEAD /restore/backup.sql.zip HTTP/1.1" 404 275 "-" "-" 
178.17.168.141 - - [16/Jan/2023:02:32:23 -0800] "HEAD /backup/backup.zip HTTP/1.1" 301 184 "-" "-" 
178.17.168.141 - - [16/Jan/2023:02:32:24 -0800] "HEAD /backup/backup.zip HTTP/1.1" 404 275 "-" "-" 
212.30.37.92 - - [16/Jan/2023:02:38:59 -0800] "HEAD /backups/public_html.rar HTTP/1.1" 301 190 "-" "-" 
212.30.37.92 - - [16/Jan/2023:02:39:00 -0800] "HEAD /backups/public_html.rar HTTP/1.1" 404 275 "-" "-" 
185.221.132.205 - - [16/Jan/2023:02:40:51 -0800] "HEAD /backup/Archive.zip HTTP/1.1" 301 185 "-" "-" 
185.221.132.205 - - [16/Jan/2023:02:40:52 -0800] "HEAD /backup/Archive.zip HTTP/1.1" 404 275 "-" "-" 
45.128.199.215 - - [16/Jan/2023:02:41:03 -0800] "HEAD /back/bak.rar HTTP/1.1" 301 179 "-" "-" 
45.128.199.215 - - [16/Jan/2023:02:41:04 -0800] "HEAD /back/bak.rar HTTP/1.1" 404 275 "-" "-" 
45.8.17.79 - - [16/Jan/2023:02:42:01 -0800] "HEAD /back/backup.zip HTTP/1.1" 301 182 "-" "-" 
217.138.202.70 - - [16/Jan/2023:02:42:01 -0800] "HEAD /bak/backup.sql.gz HTTP/1.1" 301 184 "-" "-" 
45.8.17.79 - - [16/Jan/2023:02:42:01 -0800] "HEAD /back/backup.zip HTTP/1.1" 404 275 "-" "-" 
217.138.202.70 - - [16/Jan/2023:02:42:01 -0800] "HEAD /bak/backup.sql.gz HTTP/1.1" 404 275 "-" "-" 
185.198.243.71 - - [16/Jan/2023:02:42:54 -0800] "HEAD /www.tar.gz HTTP/1.1" 301 177 "-" "-" 
185.198.243.71 - - [16/Jan/2023:02:42:55 -0800] "HEAD /www.tar.gz HTTP/1.1" 404 275 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:43:07 -0800] "HEAD /bak/wallet.zip HTTP/1.1" 301 181 "-" "-" 
64.64.123.54 - - [16/Jan/2023:02:43:07 -0800] "HEAD /bak/wallet.zip HTTP/1.1" 404 275 "-" "-" 
114.119.158.172 - - [16/Jan/2023:02:44:48 -0800] "GET /self.logs/access.log.2021-01-07.gz HTTP/1.1" 200 18179 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
85.206.166.84 - - [16/Jan/2023:02:45:00 -0800] "HEAD /old/full_backup.zip HTTP/1.1" 301 186 "-" "-" 
85.206.166.84 - - [16/Jan/2023:02:45:01 -0800] "HEAD /old/full_backup.zip HTTP/1.1" 404 275 "-" "-" 
157.97.122.59 - - [16/Jan/2023:02:45:02 -0800] "HEAD /old/directory.tar HTTP/1.1" 301 184 "-" "-" 
157.97.122.59 - - [16/Jan/2023:02:45:03 -0800] "HEAD /old/directory.tar HTTP/1.1" 404 275 "-" "-" 
45.8.17.100 - - [16/Jan/2023:02:45:28 -0800] "HEAD /backup/website.tar.gz HTTP/1.1" 301 188 "-" "-" 
45.8.17.100 - - [16/Jan/2023:02:45:28 -0800] "HEAD /backup/website.tar.gz HTTP/1.1" 404 275 "-" "-" 
157.97.122.59 - - [16/Jan/2023:02:45:45 -0800] "HEAD /old/backup.sql HTTP/1.1" 301 181 "-" "-" 
157.97.122.59 - - [16/Jan/2023:02:45:45 -0800] "HEAD /old/backup.sql HTTP/1.1" 404 275 "-" "-" 
185.198.243.73 - - [16/Jan/2023:02:46:01 -0800] "HEAD /restore/backup.rar HTTP/1.1" 301 185 "-" "-" 
185.198.243.73 - - [16/Jan/2023:02:46:01 -0800] "HEAD /restore/backup.rar HTTP/1.1" 404 275 "-" "-" 
114.119.151.184 - - [16/Jan/2023:02:46:12 -0800] "GET /self.logs/access.log.2019-10-02.gz HTTP/1.1" 200 23020 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://webmaster.petalsearch.com/site/petalbot)" 
185.198.243.73 - - [16/Jan/2023:02:47:22 -0800] "HEAD /restore/backup.gz HTTP/1.1" 301 184 "-" "-" 
