219.150.59.58 - - [18/Nov/2022:03:17:31 -0800] "GET /tg/tg_snort_fast.7z HTTP/1.1" 200 592760 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.25 Safari/537.36" 
219.150.59.58 - - [18/Nov/2022:03:17:17 -0800] "GET /maccdc2012/maccdc2012_fast_alert.7z HTTP/1.1" 200 1073100 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.25 Safari/537.36" 
219.150.59.58 - - [18/Nov/2022:03:17:17 -0800] "GET /maccdc2012/maccdc2012_full_alert.7z HTTP/1.1" 200 1020540 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.25 Safari/537.36" 
219.150.59.58 - - [18/Nov/2022:03:17:16 -0800] "GET /maccdc2012/weird.log.gz HTTP/1.1" 200 1065800 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.25 Safari/537.36" 
219.150.59.58 - - [18/Nov/2022:03:18:19 -0800] "GET /tg/tg_snort_full.7z HTTP/1.1" 200 767960 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.25 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:19:20 -0800] "GET /maccdc2012/dhcp.log.gz HTTP/1.1" 200 44933 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
147.235.214.134 - - [18/Nov/2022:03:19:20 -0800] "GET /maccdc2012/dhcp.log.gz HTTP/1.1" 206 22701 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
223.12.145.206 - - [18/Nov/2022:03:20:25 -0800] "GET /favicon.ico HTTP/1.1" 200 391 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36" 
219.150.59.58 - - [18/Nov/2022:03:20:25 -0800] "GET /self.logs/ HTTP/1.1" 200 39664 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.25 Safari/537.36" 
219.150.59.58 - - [18/Nov/2022:03:20:34 -0800] "GET /squid/access.log.gz HTTP/1.1" 200 271560 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.25 Safari/537.36" 
