117.132.188.205 - - [08/Dec/2023:02:52:20 -0800] "GET /squid/access.log.gz HTTP/1.1" 200 73000 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:21 -0800] "GET /self.logs/ HTTP/1.1" 200 46862 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:26 -0800] "GET /pe_static/op-cleaver.zip HTTP/1.1" 200 73000 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:28 -0800] "GET /pe_static/apt1.zip HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:30 -0800] "GET /pe_static/zeus.zip HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:31 -0800] "GET /scada/scada_logs.zip HTTP/1.1" 200 73000 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:34 -0800] "GET /domaindata/domainmovement.zip HTTP/1.1" 200 75920 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:34 -0800] "GET /misc/zeus_dga_domains.txt.zip HTTP/1.1" 200 75920 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:35 -0800] "GET /tg/tg_snort_full.7z HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:36 -0800] "GET /tg/tg_snort_fast.7z HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:37 -0800] "GET /tg/c.zip HTTP/1.1" 200 73000 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:38 -0800] "GET /tg/b.zip HTTP/1.1" 200 65700 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:39 -0800] "GET /tg/a.zip HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:41 -0800] "GET /maccdc2012/maccdc2012_full_alert.7z HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:42 -0800] "GET /maccdc2012/maccdc2012_fast_alert.7z HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:43 -0800] "GET /maccdc2012/weird.log.gz HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:44 -0800] "GET /maccdc2012/tunnel.log.gz HTTP/1.1" 200 5282 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:46 -0800] "GET /maccdc2012/ssl.log.gz HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:47 -0800] "GET /maccdc2012/ssh.log.gz HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:48 -0800] "GET /maccdc2012/smtp.log.gz HTTP/1.1" 200 6956 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:49 -0800] "GET /maccdc2012/signatures.log.gz HTTP/1.1" 200 668 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:49 -0800] "GET /maccdc2012/notice.log.gz HTTP/1.1" 200 20797 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:51 -0800] "GET /maccdc2012/http.log.gz HTTP/1.1" 200 65700 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:53 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 65700 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:54 -0800] "GET /maccdc2012/files.log.gz HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:54 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:57 -0800] "GET /maccdc2012/dhcp.log.gz HTTP/1.1" 200 44977 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:52:57 -0800] "GET /maccdc2012/conn.log.gz HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:05 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:06 -0800] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:19 -0800] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:22 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:29 -0800] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:30 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:31 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:33 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:34 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:35 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:37 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:42 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:44 -0800] "GET /data HTTP/1.1" 404 305 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:45 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:47 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:51 -0800] "GET / HTTP/1.1" 200 13163 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:54 -0800] "GET /GitHub-Mark.png HTTP/1.1" 200 7533 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:53:55 -0800] "GET /twitter-icon.png HTTP/1.1" 200 27893 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:08 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 301 517 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:08 -0800] "GET /maccdc2012/ftp.log.gz HTTP/1.1" 200 73000 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:10 -0800] "GET /maccdc2012/files.log.gz HTTP/1.1" 301 521 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:12 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 301 517 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:11 -0800] "GET /maccdc2012/files.log.gz HTTP/1.1" 200 73000 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:13 -0800] "GET /maccdc2012/dns.log.gz HTTP/1.1" 200 78840 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:15 -0800] "GET /maccdc2012/dhcp.log.gz HTTP/1.1" 301 519 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:16 -0800] "GET /maccdc2012/dhcp.log.gz HTTP/1.1" 200 44977 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:17 -0800] "GET /maccdc2012/conn.log.gz HTTP/1.1" 301 519 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:20 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:19 -0800] "GET /maccdc2012/conn.log.gz HTTP/1.1" 200 75920 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:21 -0800] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:23 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:25 -0800] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:33 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:34 -0800] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:38 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:54:45 -0800] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:55:04 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:55:05 -0800] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:55:07 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:55:08 -0800] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
117.132.188.205 - - [08/Dec/2023:02:55:11 -0800] "GET / HTTP/1.1" 301 475 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36" 
