91.182.215.77 - - [12/Apr/2023:03:10:41 -0700] "GET / HTTP/1.1" 200 13186 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15" 
91.182.215.77 - - [12/Apr/2023:03:10:41 -0700] "GET /css/style.css HTTP/1.1" 404 328 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15" 
91.182.215.77 - - [12/Apr/2023:03:10:41 -0700] "GET /twitter-icon.png HTTP/1.1" 200 27893 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15" 
91.182.215.77 - - [12/Apr/2023:03:10:41 -0700] "GET /GitHub-Mark.png HTTP/1.1" 200 7533 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15" 
91.182.215.77 - - [12/Apr/2023:03:10:41 -0700] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 690 "http://www.secrepo.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.4 Safari/605.1.15" 
103.83.81.175 - - [12/Apr/2023:03:25:38 -0700] "GET //wp-content/plugins/ccx/index.php HTTP/1.1" 301 483 "-" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:39 -0700] "GET /wp-content/plugins/ccx/index.php HTTP/1.1" 429 422 "http://secrepo.com//wp-content/plugins/ccx/index.php" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:39 -0700] "GET /ccx/index.php HTTP/1.1" 301 445 "-" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:40 -0700] "GET /ccx/index.php HTTP/1.1" 429 430 "http://secrepo.com/ccx/index.php" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:40 -0700] "GET /wp-content/themes/ccx/index.php HTTP/1.1" 301 481 "-" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:40 -0700] "GET /wp-content/themes/ccx/index.php HTTP/1.1" 429 430 "http://secrepo.com/wp-content/themes/ccx/index.php" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:40 -0700] "GET /shell20211028.php HTTP/1.1" 301 453 "-" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:41 -0700] "GET /shell20211028.php HTTP/1.1" 429 430 "http://secrepo.com/shell20211028.php" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:41 -0700] "GET /wp-includes/shell20211028.php HTTP/1.1" 301 477 "-" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:41 -0700] "GET /wp-includes/shell20211028.php HTTP/1.1" 429 430 "http://secrepo.com/wp-includes/shell20211028.php" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:42 -0700] "GET /wp-admin/shell20211028.php HTTP/1.1" 301 471 "-" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:42 -0700] "GET /wp-admin/shell20211028.php HTTP/1.1" 429 430 "http://secrepo.com/wp-admin/shell20211028.php" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:42 -0700] "GET /wp-content/shell20211028.php HTTP/1.1" 301 475 "-" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:42 -0700] "GET /wp-content/shell20211028.php HTTP/1.1" 429 430 "http://secrepo.com/wp-content/shell20211028.php" "Go-http-client/1.1" 
103.83.81.175 - - [12/Apr/2023:03:25:43 -0700] "GET /wso112233.php HTTP/1.1" 301 445 "-" "Go-http-client/1.1" 
