157.55.39.85 - - [14/Jan/2021:02:27:40 -0800] "GET /self.logs/access.log.2018-10-28.gz HTTP/1.1" 304 280 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
199.58.86.209 - - [14/Jan/2021:02:28:04 -0800] "GET / HTTP/1.1" 301 419 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
199.58.86.209 - - [14/Jan/2021:02:28:17 -0800] "GET / HTTP/1.1" 200 12837 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
114.119.157.43 - - [14/Jan/2021:02:30:07 -0800] "GET /self.logs/access.log.2017-07-06.gz HTTP/1.1" 200 42149 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
114.119.159.101 - - [14/Jan/2021:02:35:13 -0800] "GET /self.logs/error.log.2019-07-23.gz HTTP/1.1" 200 1356 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
111.202.101.92 - - [14/Jan/2021:02:36:53 -0800] "GET / HTTP/1.1" 200 12845 "-" "Sogou web spider/4.0(+http://www.sogou.com/docs/help/webmasters.htm#07)" 
118.189.184.49 - - [14/Jan/2021:02:39:02 -0800] "GET /self.logs/ HTTP/1.1" 200 27017 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
118.189.184.49 - - [14/Jan/2021:02:39:06 -0800] "GET /self.logs/access.log.2017-01-01.gz HTTP/1.1" 200 17678 "http://www.secrepo.com/self.logs/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:84.0) Gecko/20100101 Firefox/84.0" 
114.119.150.248 - - [14/Jan/2021:02:40:19 -0800] "GET /self.logs/error.log.2019-08-06.gz HTTP/1.1" 200 1339 "-" "Mozilla/5.0 (Linux; Android 7.0;) AppleWebKit/537.36 (KHTML, like Gecko) Mobile Safari/537.36 (compatible; PetalBot;+https://aspiegel.com/petalbot)" 
194.187.171.67 - - [14/Jan/2021:02:41:56 -0800] "GET /favicon.ico HTTP/1.1" 200 347 "-" "Qwantify/1.0" 
