60.26.254.144 - - [18/Jul/2024:04:01:41 -0700] "GET /maccdc2012/smtp.log.gz HTTP/1.1" 200 6956 "-" "Opera/9.48.(X11; Linux x86_64; ca-ES) Presto/2.9.188 Version/10.00" 
178.25.242.198 - - [18/Jul/2024:04:01:56 -0700] "GET /robots.txt HTTP/1.1" 301 495 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
178.25.242.198 - - [18/Jul/2024:04:01:58 -0700] "GET /robots.txt HTTP/1.1" 200 377 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
178.25.242.198 - - [18/Jul/2024:04:02:06 -0700] "GET /honeypot//%22http://amunhoney.sourceforge.net//%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
178.25.242.198 - - [18/Jul/2024:04:02:19 -0700] "GET /honeypot//%22http://glastopf.org//%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
178.25.242.198 - - [18/Jul/2024:04:02:42 -0700] "GET /honeypot//%22http://www.maxmind.com/%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
178.25.242.198 - - [18/Jul/2024:04:02:52 -0700] "GET /honeypot//%22https://twitter.com/sooshie/%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
217.113.194.38 - - [18/Jul/2024:04:03:00 -0700] "GET /self.logs/error.log.2020-06-03 HTTP/1.1" 304 342 "-" "Mozilla/5.0 (compatible; Barkrowler/0.9; +https://babbar.tech/crawler)" 
178.25.242.198 - - [18/Jul/2024:04:03:26 -0700] "GET /honeypot//%22https://twitter.com/theroxyd/%22 HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
178.25.242.198 - - [18/Jul/2024:04:03:39 -0700] "GET /self.logs/ HTTP/1.1" 200 50999 "-" "Mozilla/5.0 (compatible; MJ12bot/v1.4.8; http://mj12bot.com/)" 
