54.36.148.176 - - [11/Feb/2019:02:14:47 -0800] "GET /self.logs/access.log.2016-02-16.gz HTTP/1.1" 404 284 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
207.46.13.110 - - [11/Feb/2019:02:15:09 -0800] "GET /Datasets%20Description/HTML_Bro_log_3/loaded_scripts.html HTTP/1.1" 200 1437 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
24.48.121.94 - - [11/Feb/2019:02:16:10 -0800] "GET /wp-login.php HTTP/1.1" 418 732 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" 
24.48.121.94 - - [11/Feb/2019:02:16:10 -0800] "GET / HTTP/1.1" 418 732 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" 
41.223.160.131 - - [11/Feb/2019:02:17:00 -0800] "GET /tg/tg_snort_fast.7z HTTP/1.1" 304 131 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" 
223.72.91.186 - - [11/Feb/2019:02:21:29 -0800] "GET / HTTP/1.1" 200 12470 "https://cn.bing.com/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" 
223.72.91.186 - - [11/Feb/2019:02:21:29 -0800] "GET /twitter-icon.png HTTP/1.1" 200 27787 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" 
223.72.91.186 - - [11/Feb/2019:02:21:30 -0800] "GET /GitHub-Mark.png HTTP/1.1" 200 7427 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" 
223.72.91.186 - - [11/Feb/2019:02:22:18 -0800] "GET /Datasets%20Description/Network/http.html HTTP/1.1" 200 1603 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" 
223.72.91.186 - - [11/Feb/2019:02:22:18 -0800] "GET /favicon.ico HTTP/1.1" 200 267 "http://www.secrepo.com/Datasets%20Description/Network/http.html" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" 
46.229.168.146 - - [11/Feb/2019:02:22:28 -0800] "GET /robots.txt HTTP/1.1" 200 297 "-" "Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)" 
46.229.168.147 - - [11/Feb/2019:02:22:28 -0800] "GET / HTTP/1.1" 200 12433 "-" "Mozilla/5.0 (compatible; SemrushBot/3~bl; +http://www.semrush.com/bot.html)" 
223.72.91.186 - - [11/Feb/2019:02:25:33 -0800] "GET /bootstrap/img/favicon.ico HTTP/1.1" 200 590 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36" 
113.171.224.176 - - [11/Feb/2019:02:38:08 -0800] "GET /honeypot/Honeypot%20-%20Howto.pdf HTTP/1.1" 200 61320 "-" "Mozilla/5.0 Gecko/20100115 Firefox/3.6" 
54.36.148.210 - - [11/Feb/2019:02:50:24 -0800] "GET /self.logs/2016/error.log.2016-08-05.gz HTTP/1.1" 200 2253 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
54.36.148.48 - - [11/Feb/2019:03:00:06 -0800] "GET /self.logs/2016/error.log.2016-11-18.gz HTTP/1.1" 200 628 "-" "Mozilla/5.0 (compatible; AhrefsBot/6.1; +http://ahrefs.com/robot/)" 
157.55.39.108 - - [11/Feb/2019:03:03:21 -0800] "GET / HTTP/1.1" 200 12470 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
40.77.167.218 - - [11/Feb/2019:03:03:26 -0800] "GET /robots.txt HTTP/1.1" 200 334 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" 
64.62.243.164 - - [11/Feb/2019:03:05:48 -0800] "GET /robots.txt HTTP/1.1" 200 289 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.46 Safari/537.36" 
64.62.243.164 - - [11/Feb/2019:03:05:48 -0800] "GET / HTTP/1.1" 200 46424 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_11_0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.46 Safari/537.36" 
194.66.86.117 - - [11/Feb/2019:03:06:19 -0800] "GET / HTTP/1.1" 200 12470 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:61.0) Gecko/20100101 Firefox/61.0" 
194.66.86.117 - - [11/Feb/2019:03:06:20 -0800] "GET /twitter-icon.png HTTP/1.1" 200 27787 "http://www.secrepo.com/" "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:61.0) Gecko/20100101 Firefox/61.0" 
